design,collection,style1,style2,colorMain,colorMinor,Brightness,hue,delicate,sizes,photo
1802B,Masterpiece,Traditional,Ornate,Blue,Ivory,Light,Warm,0,"[[2x10],[4x6],[5x8],[6x9],[8x11],[10x13]",https://owrugs.com/cdn/shop/files/ow_masterpiece_1802b_main.jpg?crop=center&height=1376&v=1752253558&width=1376
5330B,Masterpiece,Traditional,Ornate,Blue,Multi,Dark,Warm,0,"[[2x10],[4x6],[5x8],[6x9],[8x11],[10x13]",https://owrugs.com/cdn/shop/files/ow_masterpiece_5330b_main.jpg?crop=center&height=1376&v=1752253621&width=1376
70E,Maharaja,Traditional,Modern,Blue,Grey,Light,Cool,0,"[[2x3],[2x8],[3x5],[5x8],[6x9],[8x11],[10x13],[12x15],[8x8]]",https://owrugs.com/cdn/shop/files/ow_maharaja_70e_main.jpg?crop=center&height=1376&v=1752252997&width=1376
70N,Maharaja,Traditional,Modern,Grey,,Dark,Cool,0,"[[2x3],[2x8],[3x5],[5x8],[6x9],[8x11],[10x13],[12x15],[8x8]]",https://owrugs.com/cdn/shop/files/ow_maharaja_70n_main.jpg?crop=center&height=1376&v=1752252987&width=1376
562R,Aberdeen,Traditional,Classic,Red,Blue,Dark,Warm,1,"[[2x3],[2x8],[3x5],[5x8],[6x9],[8x11],[10x13]]",https://owrugs.com/cdn/shop/files/ow_aberdeen_562r_main.jpg?crop=center&height=1376&v=1752254183&width=1376
561R,Aberdeen,Traditional,Classic,Blue,Multi,Light,Cool,1,"[[2x3],[2x8],[3x5],[5x8],[6x9],[8x11],[10x13]]",https://owrugs.com/cdn/shop/files/ow_aberdeen_561w_main.jpg?crop=center&height=1376&v=1752254178&width=1376
9659B,Carson,Contemporary,Geometric,Multi,Multi,Light,Warm,0,"[[2x3],[2x8],[4x6],[5x8],[6x9],[8x10],[10x13]]",https://owrugs.com/cdn/shop/files/ow_carson_9659b_main.jpg?crop=center&height=1376&v=1752253147&width=1376
27107,Aniston,Contemporary,Solid,Ivory,,Light,Warm,0,"[2X8],[5X8],[6X9],[8X10],[10X13]",https://owrugs.com/cdn/shop/files/ow_aniston_27107_main.jpg?crop=center&height=1376&v=1752253655&width=1376
27109,Aniston,Contemporary,Solid,Brown,,Dark,Warm,0,"[2X8],[5X8],[6X9],[8X10],[10X13]",https://owrugs.com/cdn/shop/files/ow_aniston_27109_main.jpg?crop=center&height=1376&v=1752253643&width=1376
27108,Aniston,Contemporary,Solid,Grey,,Light,Cool,0,"[2X8],[5X8],[6X9],[8X10],[10X13]",https://owrugs.com/cdn/shop/files/ow_aniston_27108_main.jpg?crop=center&height=1376&v=1752253648&width=1376
27106,Aniston,Contemporary,Solid,Blue,,Dark,Warm,0,"[2X8],[5X8],[6X9],[8X10],[10X13]",https://owrugs.com/cdn/shop/files/ow_aniston_27106_main.jpg?crop=center&height=1376&v=1752253700&width=1376
27101,Aniston,Contemporary,Solid,Blue,,Light,Cool,0,"[2X8],[5X8],[6X9],[8X10],[10X13]",https://owrugs.com/cdn/shop/files/ow_aniston_27101_main.jpg?crop=center&height=1376&v=1752253690&width=1376
1803H,Verona,Contemporary,Abstract,Grey,White,Light,Cool,1,"[[2x3],[2x8],[4x6],[5x8],[6x9],[8x11],[10x13]]",https://owrugs.com/cdn/shop/files/ow_verona_1803h_main.jpg?crop=center&height=1376&v=1752252634&width=1376
1803J,Verona,Contemporary,Abstract,Tan,White,Light,Cool,1,"[[2x3],[2x8],[4x6],[5x8],[6x9],[8x11],[10x13]]",https://owrugs.com/cdn/shop/files/ow_verona_1803j_main.jpg?crop=center&height=1376&v=1752252624&width=1376
AX03A,Axis,Boho,Geometric,Ivory,Grey,Light,Warm,0,"[2X8],[4X6],[5X8],[6X9],[8X11],[10X13]]",https://owrugs.com/cdn/shop/files/ow_axis_ax03a_main.jpg?crop=center&height=1376&v=1752252873&width=1376
75501,Zahra,Boho,Tradition,Blue,Multi,Dark,Warm,0,"[[2x8],[4x6],[5x8],[8x10],[10x13]]",https://owrugs.com/cdn/shop/files/ow_zahra_75501_main.jpg?crop=center&height=1376&v=1752254046&width=1376
2X,Nebulous,Contemporary,Abstract,Taupe,Grey,Dark,Warm,0,"[[2x8],[3x5],[5x8],[6x9],[8x11]x[10x13]]",https://owrugs.com/cdn/shop/files/ow_nebulous_2x_main.jpg?v=1752252594&width=3360
7765B,Marina,Outdoor,Geometric,Blue,White,Dark,Warm,0,"[[2x4],[2x8],[3x5],[4x6],[5x8],[6x9],[8x11],[8x8],[9x13]]",https://owrugs.com/cdn/shop/files/ow_marina_7765b_main.jpg?crop=center&height=1376&v=1752253766&width=1376
7765Y,Marina,Outdoor,Geometric,Tan,White,Light,Warm,0,"[[2x4],[2x8],[3x5],[4x6],[5x8],[6x9],[8x11],[8x8],[9x13]]",https://owrugs.com/cdn/shop/files/ow_marina_7765y_main.jpg?crop=center&height=1376&v=1752253751&width=1376
P1,Tehran,Traditional,Persian,Red,Black,Dark,Warm,0,"[[4x6],[5x8],[8x10]]",https://epiciran.com/wp-content/uploads/2021/09/red-persian-rug-2-819x1024.jpg
